,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
245,".NET разработчик (Middle, Senior)",,,,https://hh.ru/vacancy/67437417?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Очень Интересно,"Екатеринбург, Геологическая"
246,Python Developer,,,,https://hh.ru/vacancy/51410388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Циан,"Москва, Преображенская площадь"
247,"Разработчик алгоритмов компьютерного зрения (VK Видео, ВКонтакте)",,,,https://hh.ru/vacancy/67457135?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,VK,Санкт-Петербург
248,Программист С#/С++ (релокация),,350000.0,руб.,https://hh.ru/vacancy/66915209?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Адалиск,Москва
249,Разработчик Python (senior),,,,https://hh.ru/vacancy/54955475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО МКК Киберлэндинг,Москва
250,Программист SQL (backend),,,,https://hh.ru/vacancy/46268783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Limex,Чебоксары
251,"Разработчик алгоритмов компьютерного зрения (VK Видео, ВКонтакте)",,,,https://hh.ru/vacancy/67460430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,VK,Москва
252,Главный разработчик Python,,,,https://hh.ru/vacancy/67376640?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,АО НПФ ЭВОЛЮЦИЯ,"Москва, Трубная"
253,Unity разработчик (Middle / Senior),,,,https://hh.ru/vacancy/67437428?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Очень Интересно,"Екатеринбург, Геологическая"
254,Ведущий Python-разработчик,280000.0,430000.0,руб.,https://hh.ru/vacancy/67374007?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,getmatch,Москва
255,Программист SQL (сопровождение),,,,https://hh.ru/vacancy/50619946?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,БКС Банк IT & Digital,Новосибирск
256,PHP-программист (backend),,,,https://hh.ru/vacancy/45787465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Limex,Чебоксары
257,Ведущий разработчик ПО в области облачных технологий,250000.0,,руб.,https://hh.ru/vacancy/40588538?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Прогматик Лаб,"Москва, Белорусская и еще 1 "
258,Программист в Банк,100000.0,,руб.,https://hh.ru/vacancy/53978012?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО Агентство Бизнес и Кадры,Челябинск
259,Программист C++ (embedded software),,,,https://hh.ru/vacancy/54489579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Связь инжиниринг М,"Москва, Варшавская"
260,Программист C++,,,,https://hh.ru/vacancy/67250214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО МПС софт,"Москва, Белорусская и еще 2 "
261,Animation Programmer / Программист анимации,,,,https://hh.ru/vacancy/67165572?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Lesta Studio (St.Petersburg / Moscow),"Москва, Савёловская и еще 2 "
262,"Инженер-программист (C++, Linux)",,,,https://hh.ru/vacancy/53914307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО НПП РУ-Инжиниринг,Казань
263,Инженер-программист АСУ ТП,,,,https://hh.ru/vacancy/66897828?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО ПЭСК,"Санкт-Петербург, Удельная"
264,Senior C++ developer-generalist,4500.0,,USD,https://hh.ru/vacancy/67399800?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Ajarus,Москва
