,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
104,Машинист экскаватора (гусеничного),110000.0,,руб.,https://hh.ru/vacancy/67266942?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СтройКонтинент,Москва
105,Машинист буровой установки (БУ-20),156000.0,200000.0,руб.,https://hh.ru/vacancy/67412126?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО УК Золотые проекты,Москва
106,Машинист крана автомобильного и крана-манипулятора,100000.0,120000.0,руб.,https://hh.ru/vacancy/66915689?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Мегаспецтранс,Москва
107,Машинист бульдозера,187000.0,187000.0,руб.,https://hh.ru/vacancy/67387614?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,"АО «Полиметалл», Ресурсы Албазино",Москва
108,Машинист козлового и мостового крана,50000.0,,руб.,https://hh.ru/vacancy/67407171?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,АО Трансинжстрой,"Москва, Белорусская и еще 3 "
109,Машинист экскаватора-погрузчика JCB 3cx / 4cx / TEREX,95000.0,,руб.,https://hh.ru/vacancy/67441302?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Мостостроительная Компания 1520,Москва
110,Машинист экскаватора-погрузчика,70000.0,110000.0,руб.,https://hh.ru/vacancy/67372480?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ВК Энергоальянс,Москва
111,Бригада ГНБ (Горизонтальное направленное бурение),,360000.0,руб.,https://hh.ru/vacancy/66716576?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Строительные технологии,Москва
112,Машинист экскаватора,100000.0,,руб.,https://hh.ru/vacancy/67135098?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Янтарь,Москва
113,Машинист экскаватора,75000.0,75000.0,руб.,https://hh.ru/vacancy/67382333?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО РубиконСтрой,Москва
